NOMBRE,NACIMIENTO,LUGAR_NACIMIENTO,ALTURA,PESO,POSICION,EQUIPO,MIN_JUGADOS,PART_JUGADOS,%_PART_JUGADOS,PART_COMPLETOS,%_PART_COMPL,PART_TITULAR,%_PART_TITU,PART_SUSTITUIDO,%PART_SUSTI,AMARILLA,ROJA,SEGUNDAMARILLA,GOLES,PENALRECIBIDO,GOLPROPIAPUERTA,GOL_ENCONTRA,URL,BLOQUEOS,INTERVENCIONES,RECUPERACIONES,DESPEJES,ENTRADAS,ENTRADASFALLIDOS,TUATU,DUELOEXITO,DUELOFALLIDO,DUEROAEREOEXITO,DUELOAEREOFALLIDO,TIROS,TIROSAPUERTA,ASISTENCIA,REGATES,REGATESFALLIDOS,GOLESDENTROAREA,GOLESFUERAAREA,GOLESIZDA,GOLESDCHA,GOLESPENAL,GOLCABEZA,GOLBALONPARADO,FUERAJUEGO,FALTARECIBIDA,FALTACOMETIDA,PENALCONTRA,MANOS,FALTAXTARJETA,CORNETS_LANZADOS,DUELOS,DUELOS_CUERPO_CUERPO,DUELOSAEREOS,PASES,PASES_CORTOS,PASES_LARGOS,PASES_HUECO,GOLESXTIRO,GOLESXFUERAAREA,GOLESDONTROAREA,GOLPARADO
Alberto Rodríguez,10-09-1997,Fuenlabrada,184 cm,72 kg,Defensa,Deportivo Alavés,235,6,15.79,1,16.67,2,5.26,1,2.63,1,0,0,0,0,0,5,https://www.laliga.com/jugador/tachi,4,4,8,11,1,1,0,9,19,1,9,0,0,0,0,1,0,0,0.0,0.0,0,0.0,0,0,6,5,0,0,5.0,0,28,18,10,47,29,9,0,0.0,0.0,0.0,0.0
Alejandro Baena,20-07-2001,Roquetas de Mar,- cm,- kg,Centrocampista,Villarreal CF,13,1,2.63,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/alex-baena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,4,4,0,0,0.0,0.0,0.0,0.0
Alejandro Blesa,15-01-2002,Valencia,- cm,- kg,Centrocampista,Levante UD,1,1,2.63,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/blesa,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,1,0,0,0.0,0,3,2,1,5,3,0,0,0.0,0.0,0.0,0.0
Alejandro Martínez Sánchez,12-08-1990,Sevilla,176 cm,67 kg,Defensa,Granada CF,14,1,2.63,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,1,https://www.laliga.com/jugador/alex-martinez,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,1,0,0,0,5,4,1,0,0.0,0.0,0.0,0.0
Alejandro Remiro Gargallo,24-03-1995,Cascante,191 cm,79 kg,Portero,Real Sociedad,2250,25,65.79,25,100.0,25,65.79,0,0.0,0,0,0,0,0,0,32,https://www.laliga.com/jugador/a-remiro,0,0,176,32,0,0,0,10,1,7,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,5,0,0,0,0.0,0,11,4,7,837,428,180,0,0.0,0.0,0.0,0.0
Alexander Alegría Moreno,10-10-1992,Plasencia,190 cm,82 kg,Delantero,RCD Mallorca,103,6,15.79,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2,https://www.laliga.com/jugador/alegria,0,0,4,0,0,1,0,14,18,10,11,0,0,0,0,2,0,0,0.0,0.0,0,0.0,0,1,4,5,0,0,0.0,0,32,11,21,32,20,1,0,0.0,0.0,0.0,0.0
Alexander Isak,21-09-1999,Solna,190 cm,70 kg,Delantero,Real Sociedad,1497,37,97.37,1,2.7,14,36.84,13,34.21,4,0,0,9,0,0,21,https://www.laliga.com/jugador/isak,0,3,29,6,2,5,0,62,116,24,40,36,22,1,17,13,8,1,0.11,0.14,0,0.0,0,14,15,22,0,2,5.5,1,178,114,64,289,210,2,3,0.25,0.03,0.22,0.0
Alexandre Moreno Lopera,08-06-1993,Sant Sadurní d'Anoia,179 cm,68 kg,Delantero,Real Betis,2266,31,81.58,19,61.29,25,65.79,6,15.79,5,0,0,0,0,0,41,https://www.laliga.com/jugador/alex-moreno,8,23,134,39,20,17,1,134,137,20,33,16,8,4,47,33,0,0,0.0,0.0,0,0.0,0,4,31,31,2,6,6.2,1,271,218,53,976,738,28,0,0.0,0.0,0.0,0.0
Alfonso Pedraza Sag,09-04-1996,San Sebastián de los Ballesteros,184 cm,73 kg,Delantero,Villarreal CF,1348,21,55.26,7,33.33,15,39.47,8,21.05,3,0,0,1,0,0,21,https://www.laliga.com/jugador/a-pedraza,6,16,71,22,19,11,0,84,70,13,16,11,7,0,20,12,1,0,0.09,0.0,0,0.0,0,2,22,18,0,3,6.0,0,154,125,29,611,445,23,0,0.09,0.0,0.09,0.0
Allan-Roméo Nyom,10-05-1988,Neuilly-sur-Seine,188 cm,78 kg,Defensa,Getafe CF,2430,34,89.47,15,44.12,31,81.58,16,42.11,13,2,0,2,0,0,28,https://www.laliga.com/jugador/nyom,5,14,125,43,25,20,0,119,143,36,30,9,4,0,15,19,2,0,0.0,0.11,0,0.11,0,3,23,63,0,1,4.85,0,262,196,66,621,327,39,0,0.22,0.0,0.22,0.0
Álvaro Borja Morata Martín,23-10-1992,Madrid,190 cm,84 kg,Delantero,Atlético de Madrid,2103,34,89.47,11,32.35,25,65.79,14,36.84,4,1,1,12,1,0,14,https://www.laliga.com/jugador/morata,2,5,67,23,8,9,0,222,214,131,101,57,31,2,19,9,12,0,0.0,0.16,2,0.05,0,37,59,54,0,5,13.5,0,436,204,232,497,315,5,3,0.21,0.0,0.21,0.0
Álvaro Odriozola Arzallus,14-12-1995,San Sebastián,176 cm,66 kg,Defensa,Sin equipo,344,4,10.53,4,100.0,4,10.53,0,0.0,1,1,1,0,0,0,4,https://www.laliga.com/jugador/odriozola,0,2,13,6,2,3,0,15,20,0,6,0,0,1,6,2,0,0,0.0,0.0,0,0.0,0,0,4,7,0,0,7.0,0,35,29,6,123,107,5,0,0.0,0.0,0.0,0.0
Álvaro Tejero Sacristán,20-07-1996,Madrid,174 cm,69 kg,Defensa,SD Eibar,1449,18,47.37,13,72.22,16,42.11,3,7.89,4,0,0,0,0,0,19,https://www.laliga.com/jugador/a-tejero,4,28,91,30,18,12,0,73,66,22,28,4,1,0,6,8,0,0,0.0,0.0,0,0.0,0,1,18,23,0,2,5.75,0,139,89,50,538,355,39,0,0.0,0.0,0.0,0.0
Álvaro Vadillo Cifuentes,12-09-1994,Puerto Real,180 cm,69 kg,Delantero,Granada CF,1222,22,57.89,3,13.64,15,39.47,12,31.58,0,0,0,3,0,0,17,https://www.laliga.com/jugador/vadillo,0,7,47,1,11,5,0,61,82,7,30,12,5,1,19,19,2,1,0.0,0.25,1,0.0,1,9,20,9,0,2,0.0,49,143,106,37,355,258,4,0,0.25,0.08,0.17,0.08
Amath Ndiaye Diedhiou,16-07-1996,Dakar,173 cm,70 kg,Delantero,Getafe CF,60,7,18.42,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2,https://www.laliga.com/jugador/amath,0,0,4,0,1,1,0,12,15,1,0,0,0,0,5,5,0,0,0.0,0.0,0,0.0,0,0,4,3,0,0,0.0,1,27,26,1,17,10,1,0,0.0,0.0,0.0,0.0
Anaitz Arbilla Zabala,15-05-1987,Pamplona,178 cm,76 kg,Defensa,SD Eibar,2007,24,63.16,20,83.33,22,57.89,2,5.26,5,0,0,1,0,0,39,https://www.laliga.com/jugador/arbilla,4,28,174,75,20,13,1,110,83,56,36,11,2,0,9,4,0,1,0.09,0.0,0,0.0,0,0,12,22,0,1,4.4,0,193,101,92,1086,648,141,0,0.09,0.09,0.0,0.0
Ander Barrenetxea,27-12-2001,San Sebastián,178 cm,75 kg,Delantero,Real Sociedad,434,17,44.74,1,5.88,3,7.89,2,5.26,1,0,0,1,0,0,6,https://www.laliga.com/jugador/barrenetxea,0,3,23,4,9,3,0,43,53,4,7,12,5,0,22,17,0,1,0.08,0.0,0,0.0,0,1,5,14,1,2,14.0,0,96,85,11,155,115,8,1,0.08,0.08,0.0,0.0
Ander Capa Rodríguez,08-02-1992,Portugalete,175 cm,75 kg,Defensa,Athletic Club,2875,35,92.11,26,74.29,32,84.21,6,15.79,10,0,0,3,0,0,32,https://www.laliga.com/jugador/capa,7,28,138,52,36,28,1,177,155,45,25,10,7,4,56,28,2,1,0.0,0.3,0,0.0,0,6,15,46,0,0,4.6,2,332,262,70,1146,825,36,0,0.3,0.1,0.2,0.0
Ander Guevara Lajo,07-07-1997,Vitoria,180 cm,73 kg,Centrocampista,Real Sociedad,942,14,36.84,6,42.86,11,28.95,5,13.16,4,0,0,0,0,0,16,https://www.laliga.com/jugador/guevara,3,8,71,14,11,16,0,58,72,15,18,2,0,0,11,2,0,0,0.0,0.0,0,0.0,0,0,5,27,0,0,6.75,0,130,97,33,675,544,25,2,0.0,0.0,0.0,0.0
Andoni Gorosabel,04-08-1996,Arrasate,174 cm,73 kg,Defensa,Real Sociedad,714,14,36.84,4,28.57,8,21.05,4,10.53,2,0,0,0,0,0,11,https://www.laliga.com/jugador/gorosabel,1,13,36,19,8,6,0,35,43,8,14,1,1,0,4,1,0,0,0.0,0.0,0,0.0,0,0,9,10,0,0,5.0,0,78,56,22,346,256,10,0,0.0,0.0,0.0,0.0
Andoni Zubiaurre,04-12-1996,Ordizia,188 cm,82 kg,Portero,Real Sociedad,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/zubiaurre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Andrés Fernández Moreno,17-12-1986,Murcia,187 cm,82 kg,Portero,Villarreal CF,360,4,10.53,4,100.0,4,10.53,0,0.0,1,0,0,0,0,0,8,https://www.laliga.com/jugador/andres-fdez,0,0,34,4,0,0,0,4,1,3,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,0,0,1,1,1,0,1.0,0,5,2,3,139,80,25,0,0.0,0.0,0.0,0.0
Andriy Lunin,11-02-1999,Krasnograd,191 cm,80 kg,Portero,Real Madrid,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/lunin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ángel Correa,09-03-1995,Rosario,171 cm,70 kg,Centrocampista,Atlético de Madrid,2065,33,86.84,9,27.27,22,57.89,13,34.21,5,0,0,5,0,0,20,https://www.laliga.com/jugador/correa,5,14,105,16,9,16,0,114,176,12,39,31,16,6,37,30,5,0,0.0,0.13,0,0.03,0,9,41,26,0,2,5.2,8,290,239,51,549,413,9,7,0.16,0.0,0.16,0.0
Ángel Luis Rodríguez Díaz,26-04-1987,Santa Cruz de Tenerife,172 cm,68 kg,Delantero,Getafe CF,1391,32,84.21,6,18.75,9,23.68,3,7.89,6,0,0,10,0,0,23,https://www.laliga.com/jugador/angel,1,3,62,9,8,6,0,88,173,30,75,43,23,3,20,13,10,0,0.05,0.12,1,0.07,0,29,26,52,0,7,8.67,0,261,156,105,276,165,11,5,0.23,0.0,0.23,0.0
Ángel Montoro Sánchez,25-06-1988,Valencia,181 cm,72 kg,Centrocampista,Granada CF,972,15,39.47,8,53.33,11,28.95,3,7.89,6,0,0,2,0,0,12,https://www.laliga.com/jugador/montoro,1,13,70,13,8,11,0,46,45,3,6,9,5,5,6,3,2,0,0.0,0.22,0,0.0,0,1,18,21,0,1,3.5,30,91,82,9,535,370,62,1,0.22,0.0,0.22,0.0
Anssumane Fati,31-10-2002,Bissau,178 cm,66 kg,Delantero,FC Barcelona,1026,24,63.16,1,4.17,11,28.95,10,26.32,2,1,0,7,0,0,14,https://www.laliga.com/jugador/ansu-fati,1,8,41,2,8,8,0,66,92,8,12,25,12,1,25,28,6,1,0.04,0.2,0,0.04,0,4,19,19,0,1,9.5,10,158,138,20,502,426,4,0,0.28,0.04,0.24,0.0
Ante Budimir,22-07-1991,Zenica,190 cm,75 kg,Delantero,RCD Mallorca,2780,35,92.11,15,42.86,33,86.84,18,47.37,12,0,0,13,1,0,53,https://www.laliga.com/jugador/budimir,4,8,52,29,15,16,0,264,320,164,186,46,22,2,20,27,13,0,0.17,0.02,2,0.07,0,16,60,67,0,7,5.58,1,584,234,350,578,368,2,0,0.28,0.0,0.28,0.0
Antoine Griezmann,21-03-1991,Mâcon,176 cm,73 kg,Centrocampista,FC Barcelona,2561,35,92.11,15,42.86,31,81.58,16,42.11,2,0,0,9,0,0,29,https://www.laliga.com/jugador/griezmann,3,12,84,19,18,15,0,103,96,30,29,40,23,4,20,14,8,1,0.17,0.03,0,0.03,0,16,21,10,0,3,5.0,7,199,140,59,1117,883,31,7,0.23,0.03,0.2,0.0
Antonio Cortés Heredia,16-04-2000,Málaga,182 cm,71 kg,Delantero,Granada CF,176,8,21.05,0,0.0,2,5.26,2,5.26,2,0,0,1,0,0,0,https://www.laliga.com/jugador/antonin,0,0,7,1,1,0,0,12,23,4,6,2,2,0,4,5,1,0,0.0,0.5,0,0.0,0,0,3,6,0,0,3.0,0,35,25,10,28,16,0,0,0.5,0.0,0.5,0.0
Antonio García Aranda,07-11-1989,Valencia,179 cm,69 kg,Defensa,Levante UD,1590,20,52.63,15,75.0,18,47.37,3,7.89,2,0,0,0,0,0,23,https://www.laliga.com/jugador/tono-1,3,13,108,27,19,7,0,84,77,16,18,1,0,2,22,20,0,0,0.0,0.0,0,0.0,0,5,20,16,0,1,8.0,1,161,127,34,713,533,33,0,0.0,0.0,0.0,0.0
Antonio Jesús Regal Angulo,24-12-1987,Herrera,175 cm,67 kg,Defensa,Real Valladolid CF,1027,15,39.47,9,60.0,11,28.95,2,5.26,1,0,0,0,0,0,12,https://www.laliga.com/jugador/antonito,0,15,58,14,18,8,0,46,42,7,4,0,0,0,6,9,0,0,0.0,0.0,0,0.0,0,1,7,18,0,1,18.0,0,88,77,11,329,235,10,1,0.0,0.0,0.0,0.0
Antonio José Raíllo,08-10-1991,Córdoba,187 cm,80 kg,Defensa,RCD Mallorca,2779,32,84.21,29,90.63,32,84.21,3,7.89,7,1,1,1,0,0,50,https://www.laliga.com/jugador/raillo,26,22,125,110,21,10,0,120,78,69,43,13,2,0,7,0,1,0,0.0,0.0,0,0.08,0,3,16,32,2,3,4.57,0,198,86,112,1172,882,86,0,0.08,0.0,0.08,0.0
Antonio Latorre Grueso,21-11-1997,Valencia,171 cm,64 kg,Defensa,Valencia CF,473,8,21.05,2,25.0,6,15.79,4,10.53,3,0,0,1,0,0,8,https://www.laliga.com/jugador/lato,1,8,28,10,15,7,0,39,35,11,20,4,2,0,3,2,1,0,0.25,0.0,0,0.0,0,0,3,13,0,1,4.33,0,74,43,31,176,110,9,0,0.25,0.0,0.25,0.0
Antonio Otegui Khalife,07-03-1998,Mendavia,171 cm,63 kg,Centrocampista,C.A. Osasuna,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/otegui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Antonio Sivera Salvá,11-08-1996,Jávea,184 cm,75 kg,Portero,UD Almería,270,3,7.89,3,100.0,3,7.89,0,0.0,1,0,0,0,0,0,3,https://www.laliga.com/jugador/sivera,0,0,21,4,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,1,1,0,1.0,0,3,1,2,74,11,30,0,0.0,0.0,0.0,0.0
Aridai Cabrera Suárez,26-09-1988,Las Palmas de Gran Canaria,172 cm,64 kg,Delantero,UD Las Palmas,35,2,5.26,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2,https://www.laliga.com/jugador/aridai,0,0,2,0,1,0,0,1,6,0,0,1,1,0,0,2,0,0,0.0,0.0,0,0.0,0,0,0,2,0,0,0.0,0,7,7,0,9,7,0,0,0.0,0.0,0.0,0.0
Aridane Hernández Umpiérrez,23-03-1989,Tuineje,186 cm,77 kg,Defensa,C.A. Osasuna,2610,29,76.32,29,100.0,29,76.32,0,0.0,8,0,0,3,0,0,36,https://www.laliga.com/jugador/aridane-1,15,34,144,135,23,12,0,143,71,96,46,12,3,0,3,1,3,0,0.0,0.0,0,0.25,0,0,12,21,1,2,2.63,0,214,72,142,986,658,94,0,0.25,0.0,0.25,0.0
Aritz Arambarri murua,31-01-1998,Azkoitia,186 cm,76 kg,Defensa,Real Sociedad,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/arambarri-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Aritz Castro,20-05-1998,Vitoria,187 cm,84 kg,Portero,Deportivo Alavés,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/aritz-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Aritz Elustondo,28-03-1994,Beasáin,180 cm,71 kg,Defensa,Real Sociedad,1503,22,57.89,13,59.09,17,44.74,4,10.53,3,0,0,0,0,0,21,https://www.laliga.com/jugador/aritz,8,15,66,65,17,11,0,103,62,66,36,7,1,1,2,2,0,0,0.0,0.0,0,0.0,0,0,9,12,0,1,4.0,0,165,63,102,964,727,63,0,0.0,0.0,0.0,0.0
Arturo Vidal,22-05-1987,Santiago de Chile,180 cm,75 kg,Centrocampista,FC Barcelona,1661,33,86.84,8,24.24,16,42.11,8,21.05,4,0,0,8,0,0,18,https://www.laliga.com/jugador/vidal-1,7,17,108,12,38,25,0,126,136,32,39,22,14,2,8,6,8,0,0.05,0.23,0,0.09,0,7,23,44,2,1,11.0,1,262,191,71,1222,1036,44,2,0.36,0.0,0.36,0.0
Asier Illarramendi Andonegi,08-03-1990,Motrico,179 cm,75 kg,Centrocampista,Real Sociedad,217,3,7.89,2,66.67,3,7.89,1,2.63,0,0,0,0,0,0,3,https://www.laliga.com/jugador/illarra,1,5,18,6,2,0,0,9,9,4,2,1,0,0,0,1,0,0,0.0,0.0,0,0.0,0,0,3,2,0,0,0.0,0,18,12,6,180,155,10,0,0.0,0.0,0.0,0.0
Asier Villalibre Molina,30-09-1997,Gernika,184 cm,86 kg,Delantero,Athletic Club,523,19,50.0,0,0.0,5,13.16,5,13.16,0,0,0,3,0,0,10,https://www.laliga.com/jugador/villalibre,0,1,16,3,0,0,0,42,52,26,24,16,6,0,5,5,3,0,0.13,0.06,0,0.0,0,5,11,16,0,0,0.0,0,94,44,50,101,63,2,0,0.19,0.0,0.19,0.0
Aymane Mourid,07-05-2000,Desconocido,- cm,- kg,Centrocampista,CD Leganés,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/aymane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Bernardo José Espinosa Zúñiga,11-07-1989,Cali,192 cm,85 kg,Defensa,Girona FC,2261,26,68.42,25,96.15,26,68.42,1,2.63,5,1,0,3,0,0,38,https://www.laliga.com/jugador/bernardo-2,11,24,126,105,16,8,0,160,103,117,57,18,8,0,3,1,3,0,0.0,0.06,0,0.06,0,3,18,33,1,1,6.6,0,263,89,174,1112,751,74,0,0.17,0.0,0.17,0.0
Borja Iglesias Quintas,17-01-1993,Santiago de Compostela,187 cm,86 kg,Delantero,Real Betis,1919,35,92.11,9,25.71,21,55.26,12,31.58,3,1,0,3,1,0,30,https://www.laliga.com/jugador/b-iglesias,4,5,34,18,5,2,0,81,134,40,53,31,12,2,16,18,3,0,0.0,0.03,0,0.06,0,14,20,34,1,4,11.33,0,215,122,93,310,224,8,2,0.1,0.0,0.1,0.0
Borja Mayoral Moya,05-04-1997,Parla,182 cm,74 kg,Delantero,Real Madrid,2145,34,89.47,7,20.59,24,63.16,17,44.74,2,0,0,8,0,0,32,https://www.laliga.com/jugador/b-mayoral,0,4,63,6,3,9,0,98,145,34,57,32,20,2,27,19,7,1,0.06,0.19,0,0.0,0,14,26,18,0,1,9.0,0,243,152,91,552,415,23,2,0.25,0.03,0.22,0.0
Borja Sainz,01-02-2001,Leioa,178 cm,75 kg,Delantero,Deportivo Alavés,565,19,50.0,0,0.0,5,13.16,5,13.16,1,0,0,1,0,0,9,https://www.laliga.com/jugador/borja-sainz,0,3,44,0,9,7,0,44,83,8,15,7,4,0,12,18,1,0,0.0,0.14,0,0.0,0,4,8,22,0,1,22.0,0,127,104,23,101,76,2,0,0.14,0.0,0.14,0.0
Brais Méndez Portela,07-01-1997,Mos,187 cm,76 kg,Centrocampista,RC Celta,1474,31,81.58,4,12.9,15,39.47,11,28.95,4,0,0,0,0,0,22,https://www.laliga.com/jugador/brais-mendez,0,12,76,21,12,15,0,117,139,38,46,14,9,2,22,19,0,0,0.0,0.0,0,0.0,0,5,36,28,0,1,7.0,20,256,172,84,640,470,23,3,0.0,0.0,0.0,0.0
Brandon Thomas Llamas,04-02-1995,Santanyí,173 cm,71 kg,Delantero,C.A. Osasuna,408,8,21.05,0,0.0,5,13.16,5,13.16,4,0,0,0,0,0,7,https://www.laliga.com/jugador/brandon,0,0,19,1,3,2,0,20,40,5,13,8,2,1,4,4,0,0,0.0,0.0,0,0.0,0,0,6,6,0,0,1.5,0,60,42,18,111,75,1,1,0.0,0.0,0.0,0.0
Bruno González Cabrera,24-05-1990,Tenerife,185 cm,83 kg,Defensa,Sin equipo,635,8,21.05,7,87.5,7,18.42,0,0.0,1,0,0,0,0,1,9,https://www.laliga.com/jugador/bruno-1,4,2,40,35,10,3,0,27,19,10,8,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0,1,4,9,1,0,9.0,0,46,28,18,279,213,22,0,0.0,0.0,0.0,0.0
Bryan Gil Salvatierra,11-02-2001,Barbate,175 cm,60 kg,Delantero,Sevilla FC,617,14,36.84,1,7.14,4,10.53,3,7.89,4,0,0,1,0,0,6,https://www.laliga.com/jugador/bryan,0,3,44,0,5,4,0,37,58,2,9,9,4,0,14,14,1,0,0.11,0.0,0,0.0,0,4,12,11,0,1,2.75,8,95,84,11,206,150,1,1,0.11,0.0,0.11,0.0
Carlos Aleñá,05-01-1998,Mataró,180 cm,73 kg,Centrocampista,FC Barcelona,901,21,55.26,4,19.05,9,23.68,5,13.16,2,0,0,1,0,0,13,https://www.laliga.com/jugador/alena,1,1,37,1,10,6,0,54,64,3,15,10,5,0,14,11,1,0,0.1,0.0,0,0.0,0,3,21,12,0,1,6.0,4,118,100,18,538,452,20,1,0.1,0.0,0.1,0.0
Carlos Arturo Bacca Ahumada,08-09-1986,Puerto Colombia,181 cm,77 kg,Delantero,Villarreal CF,683,19,50.0,0,0.0,7,18.42,7,18.42,1,0,0,2,1,0,7,https://www.laliga.com/jugador/bacca,0,0,11,7,1,4,0,30,38,14,16,15,6,1,6,8,2,0,0.07,0.07,0,0.0,0,7,6,8,0,2,8.0,0,68,38,30,131,98,1,0,0.13,0.0,0.13,0.0
Carlos Clerc Martínez,21-02-1992,Badalona,182 cm,72 kg,Defensa,Levante UD,1846,23,60.53,19,82.61,20,52.63,1,2.63,4,0,0,0,0,0,31,https://www.laliga.com/jugador/clerc,9,22,96,41,16,12,0,96,72,33,26,4,2,2,18,14,0,0,0.0,0.0,0,0.0,0,2,20,24,0,3,6.0,0,168,109,59,720,486,33,0,0.0,0.0,0.0,0.0
Carlos Fernández Luna,22-05-1996,Castilleja de Guzmán,185 cm,72 kg,Delantero,Sevilla FC,2197,34,89.47,15,44.12,21,55.26,6,15.79,8,0,0,10,2,0,25,https://www.laliga.com/jugador/carlos-fernandez,2,11,74,30,15,9,0,196,292,104,155,39,20,3,30,24,10,0,0.13,0.08,1,0.05,0,8,45,60,0,2,7.5,1,488,229,259,605,344,17,5,0.26,0.0,0.26,0.0
Carlos Henrique Casemiro,23-02-1992,São José dos Campos,185 cm,84 kg,Centrocampista,Real Madrid,3090,35,92.11,32,91.43,35,92.11,3,7.89,11,0,0,4,0,0,22,https://www.laliga.com/jugador/casemiro,10,68,294,66,60,36,1,290,237,102,68,36,13,3,29,4,4,0,0.06,0.03,0,0.03,0,3,65,87,0,4,7.91,0,527,357,170,2153,1582,228,7,0.11,0.0,0.11,0.0
Carlos Marin tomas,20-02-1997,Almería,187 cm,79 kg,Portero,Real Betis,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/c-marin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Carlos Neva,12-06-1996,El Puerto de Santamaría,174 cm,64 kg,Defensa,Granada CF,2211,26,68.42,19,73.08,25,65.79,6,15.79,2,0,0,0,0,0,28,https://www.laliga.com/jugador/carlos-neva,2,28,85,40,11,5,0,81,73,24,30,7,4,1,5,10,0,0,0.0,0.0,0,0.0,0,0,38,12,1,0,6.0,1,154,100,54,591,392,24,0,0.0,0.0,0.0,0.0
Carlos Soler Barragán,02-01-1997,Valencia,180 cm,76 kg,Centrocampista,Valencia CF,2071,28,73.68,12,42.86,24,63.16,12,31.58,4,0,0,2,0,0,31,https://www.laliga.com/jugador/carlos-soler,6,9,82,9,9,11,0,78,94,19,17,10,4,0,15,10,2,0,0.0,0.2,0,0.0,0,1,25,22,0,2,5.5,10,172,136,36,704,534,33,3,0.2,0.0,0.2,0.0
Christian Rivera Hernández,09-07-1997,Gijón,191 cm,87 kg,Centrocampista,Girona FC,309,5,13.16,3,60.0,3,7.89,0,0.0,3,0,0,0,0,0,8,https://www.laliga.com/jugador/c-rivera,3,4,25,6,4,2,0,18,17,6,5,0,0,0,2,1,0,0,0.0,0.0,0,0.0,0,0,5,6,0,0,2.0,0,35,24,11,120,92,8,0,0.0,0.0,0.0,0.0
Clement Nicolas Laurent Lenglet,17-06-1995,Beauvais,186 cm,81 kg,Defensa,FC Barcelona,2428,28,73.68,26,92.86,28,73.68,2,5.26,7,2,2,2,0,0,28,https://www.laliga.com/jugador/lenglet,15,35,138,74,31,13,2,133,95,64,40,10,3,1,5,5,2,0,0.1,0.0,0,0.1,0,2,25,32,1,2,4.57,0,228,124,104,2140,1869,107,1,0.2,0.0,0.2,0.0
Cristian Portugués Manzanera,21-05-1992,Murcia,178 cm,70 kg,Centrocampista,Real Sociedad,2392,35,92.11,13,37.14,25,65.79,12,31.58,5,0,0,7,0,0,32,https://www.laliga.com/jugador/portu,3,13,90,4,21,11,0,85,147,19,53,30,17,8,11,19,7,0,0.0,0.23,0,0.0,0,21,23,31,0,5,6.2,45,232,160,72,559,401,5,2,0.23,0.0,0.23,0.0
